model,threshold,rows,true_positive,true_negative,false_positive,false_negative,positive_rate_true,positive_rate_predicted,accuracy,error_rate,precision,recall,specificity,false_positive_rate,false_negative_rate,negative_predictive_value,f1,balanced_accuracy,pr_auc,brier_score,ece,roc_auc
logistic_regression,0.5,1875,312,927,479,157,0.2501333333333333,0.42186666666666667,0.6608,0.33919999999999995,0.3944374209860936,0.6652452025586354,0.6593172119487909,0.3406827880512091,0.3347547974413646,0.8551660516605166,0.49523809523809526,0.6622812072537132,0.4109374466717152,0.2191371338795311,0.2147322778381482,0.7034692924323718
random_forest,0.25,1875,324,955,451,145,0.2501333333333333,0.41333333333333333,0.6821333333333334,0.31786666666666663,0.4180645161290323,0.6908315565031983,0.6792318634423897,0.3207681365576102,0.3091684434968017,0.8681818181818182,0.5209003215434084,0.6850317099727941,0.49433318860756376,0.16188872144046315,0.03792119786133892,0.7439446235597059
