rows,positive_rate_true,positive_rate_predicted,precision,recall,f1,fpr,fnr,pr_auc,roc_auc,brier_score,ece,scenario,group_feature,group_value
84,0.39285714285714285,0.5833333333333334,0.6530612244897959,0.9696969696969697,0.7804878048780488,0.3333333333333333,0.030303030303030304,0.7535521829999303,0.8805704099821747,0.14959963780853816,0.13618052025440758,baseline,project_key,PLVS
92,0.21739130434782608,0.5434782608695652,0.24,0.6,0.34285714285714286,0.5277777777777778,0.4,0.27916289015709705,0.5597222222222222,0.17884568162092512,0.07359304310092474,baseline,project_key,REFAPP
82,0.2682926829268293,0.7317073170731707,0.35,0.9545454545454546,0.5121951219512195,0.65,0.045454545454545456,0.3982157172860644,0.7037878787878789,0.1822948986870664,0.08963475112417799,baseline,project_key,REST
54,0.4074074074074074,0.9259259259259259,0.42,0.9545454545454546,0.5833333333333334,0.90625,0.045454545454545456,0.6463403023672967,0.6860795454545454,0.21931110989821392,0.10353664575731854,baseline,project_key,SAL
25,0.48,1.0,0.48,1.0,0.6486486486486487,1.0,0.0,0.6846815092945123,0.6602564102564102,0.22179550809337692,0.1214456357612704,baseline,project_key,SCANNER
57,0.40350877192982454,1.0,0.40350877192982454,1.0,0.575,1.0,0.0,0.6918710994542004,0.7404092071611253,0.21010066022557886,0.11222428512257268,baseline,project_key,SELENIUM
24,0.16666666666666666,0.625,0.26666666666666666,1.0,0.42105263157894735,0.55,0.0,0.34935897435897434,0.6875,0.14627659000248697,0.13209409253557047,baseline,project_key,SOY
25,0.08,0.04,0.0,0.0,0.0,0.043478260869565216,1.0,0.16666666666666666,0.673913043478261,0.0790145845902411,0.07324981312117913,baseline,project_key,SPEAKEASY
120,0.18333333333333332,0.24166666666666667,0.4482758620689655,0.5909090909090909,0.5098039215686274,0.16326530612244897,0.4090909090909091,0.6026564950664252,0.8093692022263451,0.11760816253922557,0.08111406723915951,baseline,project_key,SPFE
455,0.23736263736263735,0.34725274725274724,0.3924050632911392,0.5740740740740741,0.46616541353383456,0.276657060518732,0.42592592592592593,0.4433284772380107,0.7172990714056996,0.1618652806973551,0.02796635443929968,baseline,project_key,STRM
34,0.3235294117647059,0.7647058823529411,0.4230769230769231,1.0,0.5945945945945946,0.6521739130434783,0.0,0.7046022817761949,0.766798418972332,0.17921876113779178,0.20601187836442897,baseline,project_key,SVN
750,0.23333333333333334,0.32133333333333336,0.45228215767634855,0.6228571428571429,0.5240384615384616,0.22956521739130434,0.37714285714285717,0.5028363908118993,0.7598807453416149,0.15164265977581218,0.03858029329152629,baseline,project_key,UPM
