split,rows,start,end,positive_rate
temporal_train,7483,2004-11-17 05:29:40.412000+00:00,2014-04-22 13:57:46.874000+00:00,0.24428705064813577
temporal_test,1871,2014-04-23 21:50:32.201000+00:00,2021-12-01 01:56:18.236000+00:00,0.27204703367183325
