model,group_feature,metric,groups_considered,min_value,max_value,absolute_gap,min_max_ratio,worst_group,best_group
extra_trees,created_month,precision,12,0.3148148148148148,0.569620253164557,0.2548054383497422,0.5526748971193416,9,7
extra_trees,created_month,recall,12,0.5,0.8529411764705882,0.3529411764705882,0.5862068965517242,2,10
extra_trees,created_month,f1,12,0.3953488372093023,0.625,0.2296511627906977,0.6325581395348837,9,7
extra_trees,created_month,fpr,12,0.27702702702702703,0.375,0.09797297297297297,0.7387387387387387,3,12
extra_trees,created_month,fnr,12,0.14705882352941177,0.5,0.3529411764705882,0.29411764705882354,10,2
extra_trees,created_month,positive_rate_predicted,12,0.3370165745856354,0.5040650406504065,0.16704846606477108,0.6685973979682767,3,10
extra_trees,created_month,brier_score,12,0.13046286935625406,0.2040441529256643,0.07358128356941024,0.6393854834143825,3,7
extra_trees,created_month,ece,12,0.034495689823562554,0.11139199833203114,0.0768963085084686,0.3096783462016697,12,7
extra_trees,created_month,roc_auc,12,0.6661445279866332,0.8132848645076007,0.14714033652096759,0.819078968584946,2,10
extra_trees,created_month,pr_auc,12,0.36771972133413716,0.6667088865568063,0.2989891652226691,0.5515446527692353,2,7
extra_trees,created_year,precision,11,0.28695652173913044,0.5491803278688525,0.26222380612972207,0.5225178455548345,2010,2012
extra_trees,created_year,recall,11,0.2222222222222222,0.9230769230769231,0.7008547008547009,0.24074074074074073,2021,2008
extra_trees,created_year,f1,11,0.26666666666666666,0.6666666666666666,0.39999999999999997,0.4,2021,2009
extra_trees,created_year,fpr,11,0.05,0.6551724137931034,0.6051724137931034,0.07631578947368421,2021,2014
extra_trees,created_year,fnr,11,0.07692307692307693,0.7777777777777778,0.7008547008547008,0.09890109890109891,2008,2021
extra_trees,created_year,positive_rate_predicted,11,0.06741573033707865,0.717391304347826,0.6499755740107473,0.09397344228804903,2021,2008
extra_trees,created_year,brier_score,11,0.08901065480602079,0.20753402434343143,0.11852336953741065,0.428896683749187,2021,2020
