threshold,rows,positive_rate_true,positive_rate_predicted,precision,recall,f1,pr_auc,brier_score,ece,roc_auc,split_type,train_rows,test_rows,train_start,train_end,test_start,test_end,delta_vs_random_precision,delta_vs_random_recall,delta_vs_random_f1,delta_vs_random_pr_auc,delta_vs_random_brier_score,delta_vs_random_ece,delta_vs_random_roc_auc
0.25,1871,0.2495991448423303,0.4120791020844468,0.4176394293125811,0.6895074946466809,0.5201938610662359,0.4878329432319938,0.1618555040524644,0.028940017960181193,0.7440800832128454,random_split,7483,1871,2004-11-17 05:29:40.412000+00:00,2021-12-01 01:56:18.236000+00:00,2004-11-18 13:32:39.861000+00:00,2021-11-12 10:08:44.525000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,1871,0.27204703367183325,0.7349011223944415,0.29745454545454547,0.8035363457760314,0.43418259023354566,0.3498145036414821,0.22769477970103544,0.15777503395449127,0.5954017119167756,temporal_split,7483,1871,2004-11-17 05:29:40.412000+00:00,2014-04-22 13:57:46.874000+00:00,2014-04-23 21:50:32.201000+00:00,2021-12-01 01:56:18.236000+00:00,-0.12018488385803561,0.11402885112935046,-0.08601127083269022,-0.1380184395905117,0.06583927564857103,0.12883501599431008,-0.14867837129606976
