strategy,periods,avg_precision,avg_recall,avg_f1,avg_pr_auc,avg_brier_score,avg_ece,avg_roc_auc,delta_avg_precision_vs_static,delta_avg_recall_vs_static,delta_avg_f1_vs_static,delta_avg_pr_auc_vs_static,delta_avg_brier_score_vs_static,delta_avg_ece_vs_static,delta_avg_roc_auc_vs_static
cumulative_retraining,2,0.3829808986466598,0.7679237833823709,0.5031067922419986,0.4139737647282087,0.21827892223308654,0.11659129876501023,0.6415722502405045,-0.004058599481323311,0.012770137524557912,-0.0022571437944949313,-0.02183649102704366,0.01200425017399298,0.025433723817253825,-0.013310340450452762
sliding_window_2_periods,2,0.37665184622488346,0.7554654183234475,0.49420791424033883,0.4153126760701431,0.22041831373451068,0.12654380819542985,0.6431929583639064,-0.010387651903099648,0.0003117724656345189,-0.011156021796154714,-0.020497579685109235,0.014143641675417123,0.03538623324767344,-0.01168963232705078
static_initial_train,2,0.3870394981279831,0.755153645857813,0.5053639360364935,0.43581025575525234,0.20627467205909356,0.0911575749477564,0.6548825906909572,0.0,0.0,0.0,0.0,0.0,0.0,0.0
