threshold,rows,positive_rate_true,positive_rate_predicted,precision,recall,f1,pr_auc,brier_score,ece,roc_auc,strategy,test_period,train_rows,test_rows,train_start,train_end,test_start,test_end,train_positive_rate,test_positive_rate,static_precision,static_recall,static_f1,static_pr_auc,static_brier_score,static_ece,static_roc_auc,delta_vs_static_precision,delta_vs_static_recall,delta_vs_static_f1,delta_vs_static_pr_auc,delta_vs_static_brier_score,delta_vs_static_ece,delta_vs_static_roc_auc
0.25,1871,0.3351149118118653,0.5243185462319615,0.4617737003058104,0.722488038277512,0.5634328358208955,0.48237506261643404,0.21014220267969178,0.08435445233389963,0.687781735103617,static_initial_train,period_4,5612,1871,2004-11-17 05:29:40.412000+00:00,2012-05-29 17:55:51.524000+00:00,2012-05-29 18:22:54.199000+00:00,2014-04-22 13:57:46.874000+00:00,0.2140057020669993,0.3351149118118653,0.4617737003058104,0.722488038277512,0.5634328358208955,0.48237506261643404,0.21014220267969178,0.08435445233389963,0.687781735103617,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,1871,0.3351149118118653,0.5243185462319615,0.4617737003058104,0.722488038277512,0.5634328358208955,0.48237506261643404,0.21014220267969178,0.08435445233389963,0.687781735103617,cumulative_retraining,period_4,5612,1871,2004-11-17 05:29:40.412000+00:00,2012-05-29 17:55:51.524000+00:00,2012-05-29 18:22:54.199000+00:00,2014-04-22 13:57:46.874000+00:00,0.2140057020669993,0.3351149118118653,0.4617737003058104,0.722488038277512,0.5634328358208955,0.48237506261643404,0.21014220267969178,0.08435445233389963,0.687781735103617,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,1871,0.3351149118118653,0.5200427578834848,0.45837615621788286,0.7113237639553429,0.5575,0.4876893707290955,0.209317460795199,0.09173032893989182,0.6942427319394657,sliding_window_2_periods,period_4,3741,1871,2010-08-20 00:47:04.174000+00:00,2012-05-29 17:55:51.524000+00:00,2012-05-29 18:22:54.199000+00:00,2014-04-22 13:57:46.874000+00:00,0.22213311948676825,0.3351149118118653,0.4617737003058104,0.722488038277512,0.5634328358208955,0.48237506261643404,0.21014220267969178,0.08435445233389963,0.687781735103617,-0.0033975440879275287,-0.011164274322169043,-0.005932835820895543,0.005314308112661481,-0.0008247418844927745,0.00737587660599219,0.006460996835848776
0.25,1871,0.27204703367183325,0.6862640299305185,0.31230529595015577,0.787819253438114,0.4472950362520915,0.3892454488940707,0.20240714143849534,0.09796069756161319,0.6219834462782976,static_initial_train,period_5,5612,1871,2004-11-17 05:29:40.412000+00:00,2012-05-29 17:55:51.524000+00:00,2014-04-23 21:50:32.201000+00:00,2021-12-01 01:56:18.236000+00:00,0.2140057020669993,0.27204703367183325,0.31230529595015577,0.787819253438114,0.4472950362520915,0.3892454488940707,0.20240714143849534,0.09796069756161319,0.6219834462782976,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,1871,0.27204703367183325,0.7274184927846071,0.3041880969875092,0.8133595284872298,0.44278074866310163,0.3455724668399833,0.22641564178648133,0.14882814519612084,0.595362765377392,cumulative_retraining,period_5,7483,1871,2004-11-17 05:29:40.412000+00:00,2014-04-22 13:57:46.874000+00:00,2014-04-23 21:50:32.201000+00:00,2021-12-01 01:56:18.236000+00:00,0.24428705064813577,0.27204703367183325,0.31230529595015577,0.787819253438114,0.4472950362520915,0.3892454488940707,0.20240714143849534,0.09796069756161319,0.6219834462782976,-0.008117198962646566,0.025540275049115824,-0.004514287588989863,-0.04367298205408737,0.02400850034798599,0.05086744763450765,-0.026620680900905636
0.25,1871,0.27204703367183325,0.7375734901122395,0.29492753623188406,0.7996070726915521,0.4309158284806776,0.34293598141119064,0.23151916667382236,0.16135728745096786,0.5921431847883472,sliding_window_2_periods,period_5,3741,1871,2011-05-18 16:03:12.540000+00:00,2014-04-22 13:57:46.874000+00:00,2014-04-23 21:50:32.201000+00:00,2021-12-01 01:56:18.236000+00:00,0.2868217054263566,0.27204703367183325,0.31230529595015577,0.787819253438114,0.4472950362520915,0.3892454488940707,0.20240714143849534,0.09796069756161319,0.6219834462782976,-0.017377759718271713,0.011787819253438081,-0.016379207771413884,-0.04630946748288006,0.02911202523532702,0.06339658988935468,-0.029840261489950448
