model,subgroup_feature,subgroup_value,rows,positive_rate_subgroup,positive_rate_overall,positive_rate_gap,positive_rate_abs_gap,precision_subgroup,precision_overall,precision_gap,precision_abs_gap,recall_subgroup,recall_overall,recall_gap,recall_abs_gap,f1_subgroup,f1_overall,f1_gap,f1_abs_gap,pr_auc_subgroup,pr_auc_overall,pr_auc_gap,pr_auc_abs_gap,brier_score_subgroup,brier_score_overall,brier_score_gap,brier_score_abs_gap,ece_subgroup,ece_overall,ece_gap,ece_abs_gap
logistic_regression,project_key,PLVS,84,0.3928571428571428,0.2501333333333333,0.14272380952380948,0.14272380952380948,0.4307692307692308,0.3944374209860936,0.036331809783137214,0.036331809783137214,0.8484848484848485,0.6652452025586354,0.1832396459262131,0.1832396459262131,0.5714285714285714,0.4952380952380952,0.0761904761904762,0.0761904761904762,0.5972724104124912,0.4109374466717152,0.18633496374077602,0.18633496374077602,0.2846547369952117,0.2191371338795311,0.06551760311568061,0.06551760311568061,0.2820805998344572,0.2147322778381482,0.06734832199630902,0.06734832199630902
logistic_regression,project_key,REFAPP,92,0.217391304347826,0.2501333333333333,-0.03274202898550732,0.03274202898550732,0.2419354838709677,0.3944374209860936,-0.15250193711512589,0.15250193711512589,0.75,0.6652452025586354,0.0847547974413646,0.0847547974413646,0.3658536585365853,0.4952380952380952,-0.1293844367015099,0.1293844367015099,0.2486205234128214,0.4109374466717152,-0.16231692325889382,0.16231692325889382,0.292648342877311,0.2191371338795311,0.07351120899777991,0.07351120899777991,0.32816450091907,0.2147322778381482,0.11343222308092182,0.11343222308092182
logistic_regression,project_key,REST,82,0.2682926829268293,0.2501333333333333,0.018159349593495966,0.018159349593495966,0.3392857142857143,0.3944374209860936,-0.05515170670037928,0.05515170670037928,0.8636363636363636,0.6652452025586354,0.19839116107772825,0.19839116107772825,0.4871794871794871,0.4952380952380952,-0.008058608058608085,0.008058608058608085,0.3518820010898477,0.4109374466717152,-0.05905544558186754,0.05905544558186754,0.2901798284553331,0.2191371338795311,0.07104269457580198,0.07104269457580198,0.3129995991307975,0.2147322778381482,0.09826732129264931,0.09826732129264931
logistic_regression,project_key,SAL,54,0.4074074074074074,0.2501333333333333,0.15727407407407407,0.15727407407407407,0.4489795918367347,0.3944374209860936,0.054542170850641114,0.054542170850641114,1.0,0.6652452025586354,0.3347547974413646,0.3347547974413646,0.6197183098591549,0.4952380952380952,0.12448021462105968,0.12448021462105968,0.4322017543476522,0.4109374466717152,0.021264307675936955,0.021264307675936955,0.3124774154561766,0.2191371338795311,0.09334028157664548,0.09334028157664548,0.2700571503932245,0.2147322778381482,0.05532487255507629,0.05532487255507629
logistic_regression,project_key,SELENIUM,57,0.4035087719298245,0.2501333333333333,0.15337543859649116,0.15337543859649116,0.4107142857142857,0.3944374209860936,0.01627686472819212,0.01627686472819212,1.0,0.6652452025586354,0.3347547974413646,0.3347547974413646,0.5822784810126582,0.4952380952380952,0.08704038577456302,0.08704038577456302,0.5896688112455499,0.4109374466717152,0.1787313645738347,0.1787313645738347,0.3418405911770957,0.2191371338795311,0.1227034572975646,0.1227034572975646,0.3467726341485003,0.2147322778381482,0.1320403563103521,0.1320403563103521
logistic_regression,project_key,SPFE,120,0.1833333333333333,0.2501333333333333,-0.06680000000000003,0.06680000000000003,0.24,0.3944374209860936,-0.1544374209860936,0.1544374209860936,0.2727272727272727,0.6652452025586354,-0.3925179298313627,0.3925179298313627,0.2553191489361702,0.4952380952380952,-0.239918946301925,0.239918946301925,0.2512416574832662,0.4109374466717152,-0.159695789188449,0.159695789188449,0.1942320600548889,0.2191371338795311,-0.024905073824642188,0.024905073824642188,0.211682693262537,0.2147322778381482,-0.0030495845756111917,0.0030495845756111917
logistic_regression,project_key,STRM,455,0.2373626373626373,0.2501333333333333,-0.012770695970696022,0.012770695970696022,0.3902439024390244,0.3944374209860936,-0.004193518547069175,0.004193518547069175,0.5925925925925926,0.6652452025586354,-0.07265260996604284,0.07265260996604284,0.4705882352941176,0.4952380952380952,-0.024649859943977614,0.024649859943977614,0.4419457856560125,0.4109374466717152,0.03100833898429728,0.03100833898429728,0.2106895943730675,0.2191371338795311,-0.008447539506463597,0.008447539506463597,0.2125334137913503,0.2147322778381482,-0.0021988640467978937,0.0021988640467978937
logistic_regression,project_key,SVN,34,0.3235294117647059,0.2501333333333333,0.07339607843137258,0.07339607843137258,0.3333333333333333,0.3944374209860936,-0.061104087652760264,0.061104087652760264,0.8181818181818182,0.6652452025586354,0.15293661562318284,0.15293661562318284,0.4736842105263157,0.4952380952380952,-0.021553884711779492,0.021553884711779492,0.5160070407748426,0.4109374466717152,0.10506959410312738,0.10506959410312738,0.264425214463988,0.2191371338795311,0.04528808058445688,0.04528808058445688,0.2319090499365716,0.2147322778381482,0.017176772098423415,0.017176772098423415
logistic_regression,project_key,UPM,750,0.2333333333333333,0.2501333333333333,-0.01680000000000001,0.01680000000000001,0.4657534246575342,0.3944374209860936,0.07131600367144064,0.07131600367144064,0.5828571428571429,0.6652452025586354,-0.08238805970149254,0.08238805970149254,0.5177664974619289,0.4952380952380952,0.022528402223833732,0.022528402223833732,0.4730399499100573,0.4109374466717152,0.0621025032383421,0.0621025032383421,0.1877154500646873,0.2191371338795311,-0.03142168381484381,0.03142168381484381,0.1809870552172328,0.2147322778381482,-0.033745222620915394,0.033745222620915394
logistic_regression,issuetype,Bug,889,0.249718785151856,0.2501333333333333,-0.00041454818147732,0.00041454818147732,0.3852941176470588,0.3944374209860936,-0.009143303339034792,0.009143303339034792,0.5900900900900901,0.6652452025586354,-0.07515511246854534,0.07515511246854534,0.4661921708185053,0.4952380952380952,-0.02904592441958992,0.02904592441958992,0.4131014252580385,0.4109374466717152,0.0021639785863232786,0.0021639785863232786,0.2204819298843653,0.2191371338795311,0.0013447960048341978,0.0013447960048341978,0.2113162535721457,0.2147322778381482,-0.0034160242660024875,0.0034160242660024875
logistic_regression,issuetype,Improvement,340,0.3705882352941176,0.2501333333333333,0.12045490196078429,0.12045490196078429,0.4423076923076923,0.3944374209860936,0.04787027132159871,0.04787027132159871,0.9126984126984128,0.6652452025586354,0.2474532101397774,0.2474532101397774,0.5958549222797928,0.4952380952380952,0.10061682704169755,0.10061682704169755,0.4687282034031402,0.4109374466717152,0.057790756731424975,0.057790756731424975,0.2704554824657009,0.2191371338795311,0.05131834858616979,0.05131834858616979,0.2251517770374957,0.2147322778381482,0.01041949919934751,0.01041949919934751
