model,threshold,rows,positive_rate_true,positive_rate_predicted,precision,recall,f1,pr_auc,brier_score,ece,roc_auc
logistic_regression,0.1,1875,0.2501333333333333,0.9882666666666666,0.25310307609282245,1.0,0.40396210163652024,0.4109374466717152,0.2191371338795311,0.2147322778381482,0.7034692924323718
logistic_regression,0.15,1875,0.2501333333333333,0.9642666666666667,0.2588495575221239,0.997867803837953,0.41106719367588934,0.4109374466717152,0.2191371338795311,0.2147322778381482,0.7034692924323718
logistic_regression,0.2,1875,0.2501333333333333,0.9125333333333333,0.2688486265341905,0.9808102345415778,0.42201834862385323,0.4109374466717152,0.2191371338795311,0.2147322778381482,0.7034692924323718
logistic_regression,0.25,1875,0.2501333333333333,0.8688,0.2774708410067526,0.9637526652452025,0.43088655862726405,0.4109374466717152,0.2191371338795311,0.2147322778381482,0.7034692924323718
logistic_regression,0.3,1875,0.2501333333333333,0.7962666666666667,0.2953784326858674,0.9402985074626866,0.44954128440366975,0.4109374466717152,0.2191371338795311,0.2147322778381482,0.7034692924323718
logistic_regression,0.35,1875,0.2501333333333333,0.712,0.3093632958801498,0.8805970149253731,0.45787139689578715,0.4109374466717152,0.2191371338795311,0.2147322778381482,0.7034692924323718
logistic_regression,0.4,1875,0.2501333333333333,0.6229333333333333,0.3279109589041096,0.8166311300639659,0.46792913866829566,0.4109374466717152,0.2191371338795311,0.2147322778381482,0.7034692924323718
logistic_regression,0.45,1875,0.2501333333333333,0.5296,0.35246727089627394,0.746268656716418,0.478796169630643,0.4109374466717152,0.2191371338795311,0.2147322778381482,0.7034692924323718
logistic_regression,0.5,1875,0.2501333333333333,0.42186666666666667,0.3944374209860936,0.6652452025586354,0.49523809523809526,0.4109374466717152,0.2191371338795311,0.2147322778381482,0.7034692924323718
logistic_regression,0.55,1875,0.2501333333333333,0.3317333333333333,0.4180064308681672,0.5543710021321961,0.4766269477543538,0.4109374466717152,0.2191371338795311,0.2147322778381482,0.7034692924323718
logistic_regression,0.6,1875,0.2501333333333333,0.2416,0.4326710816777042,0.417910447761194,0.42516268980477223,0.4109374466717152,0.2191371338795311,0.2147322778381482,0.7034692924323718
logistic_regression,0.65,1875,0.2501333333333333,0.17546666666666666,0.45896656534954405,0.32196162046908317,0.37844611528822053,0.4109374466717152,0.2191371338795311,0.2147322778381482,0.7034692924323718
logistic_regression,0.7,1875,0.2501333333333333,0.1152,0.4722222222222222,0.21748400852878466,0.29781021897810217,0.4109374466717152,0.2191371338795311,0.2147322778381482,0.7034692924323718
logistic_regression,0.75,1875,0.2501333333333333,0.06773333333333334,0.4881889763779528,0.13219616204690832,0.2080536912751678,0.4109374466717152,0.2191371338795311,0.2147322778381482,0.7034692924323718
logistic_regression,0.8,1875,0.2501333333333333,0.034666666666666665,0.49230769230769234,0.06823027718550106,0.1198501872659176,0.4109374466717152,0.2191371338795311,0.2147322778381482,0.7034692924323718
logistic_regression,0.85,1875,0.2501333333333333,0.012266666666666667,0.4782608695652174,0.023454157782515993,0.044715447154471545,0.4109374466717152,0.2191371338795311,0.2147322778381482,0.7034692924323718
logistic_regression,0.9,1875,0.2501333333333333,0.0026666666666666666,0.2,0.0021321961620469083,0.004219409282700422,0.4109374466717152,0.2191371338795311,0.2147322778381482,0.7034692924323718
random_forest,0.1,1875,0.2501333333333333,0.6698666666666667,0.32961783439490444,0.8827292110874201,0.48,0.49433318860756376,0.16188872144046315,0.036321197861338916,0.7439446235597059
random_forest,0.15,1875,0.2501333333333333,0.5728,0.35567970204841715,0.814498933901919,0.4951393389500972,0.49433318860756376,0.16188872144046315,0.036321197861338916,0.7439446235597059
random_forest,0.2,1875,0.2501333333333333,0.49493333333333334,0.3890086206896552,0.7697228144989339,0.5168217609162491,0.49433318860756376,0.16188872144046315,0.036321197861338916,0.7439446235597059
random_forest,0.25,1875,0.2501333333333333,0.41333333333333333,0.4180645161290323,0.6908315565031983,0.5209003215434084,0.49433318860756376,0.16188872144046315,0.036321197861338916,0.7439446235597059
random_forest,0.3,1875,0.2501333333333333,0.3424,0.4485981308411215,0.6140724946695096,0.5184518451845185,0.49433318860756376,0.16188872144046315,0.036321197861338916,0.7439446235597059
random_forest,0.35,1875,0.2501333333333333,0.27786666666666665,0.472168905950096,0.5245202558635395,0.49696969696969695,0.49433318860756376,0.16188872144046315,0.036321197861338916,0.7439446235597059
random_forest,0.4,1875,0.2501333333333333,0.22506666666666666,0.495260663507109,0.44562899786780386,0.4691358024691358,0.49433318860756376,0.16188872144046315,0.036321197861338916,0.7439446235597059
random_forest,0.45,1875,0.2501333333333333,0.1712,0.5295950155763239,0.3624733475479744,0.43037974683544306,0.49433318860756376,0.16188872144046315,0.036321197861338916,0.7439446235597059
random_forest,0.5,1875,0.2501333333333333,0.13226666666666667,0.5483870967741935,0.2899786780383795,0.3793584379358438,0.49433318860756376,0.16188872144046315,0.036321197861338916,0.7439446235597059
random_forest,0.55,1875,0.2501333333333333,0.09493333333333333,0.5617977528089888,0.21321961620469082,0.3091190108191654,0.49433318860756376,0.16188872144046315,0.036321197861338916,0.7439446235597059
random_forest,0.6,1875,0.2501333333333333,0.07146666666666666,0.6044776119402985,0.17270788912579957,0.26865671641791045,0.49433318860756376,0.16188872144046315,0.036321197861338916,0.7439446235597059
random_forest,0.65,1875,0.2501333333333333,0.047466666666666664,0.6966292134831461,0.13219616204690832,0.2222222222222222,0.49433318860756376,0.16188872144046315,0.036321197861338916,0.7439446235597059
random_forest,0.7,1875,0.2501333333333333,0.03253333333333333,0.7540983606557377,0.09808102345415778,0.17358490566037735,0.49433318860756376,0.16188872144046315,0.036321197861338916,0.7439446235597059
random_forest,0.75,1875,0.2501333333333333,0.021333333333333333,0.8,0.06823027718550106,0.12573673870333987,0.49433318860756376,0.16188872144046315,0.036321197861338916,0.7439446235597059
random_forest,0.8,1875,0.2501333333333333,0.010666666666666666,0.8,0.03411513859275053,0.065439672801636,0.49433318860756376,0.16188872144046315,0.036321197861338916,0.7439446235597059
random_forest,0.85,1875,0.2501333333333333,0.0032,0.8333333333333334,0.010660980810234541,0.021052631578947368,0.49433318860756376,0.16188872144046315,0.036321197861338916,0.7439446235597059
random_forest,0.9,1875,0.2501333333333333,0.0016,0.6666666666666666,0.0042643923240938165,0.00847457627118644,0.49433318860756376,0.16188872144046315,0.036321197861338916,0.7439446235597059
