model,subgroup_feature,subgroups,max_abs_positive_rate_gap,mean_abs_positive_rate_gap,max_abs_precision_gap,mean_abs_precision_gap,max_abs_recall_gap,mean_abs_recall_gap,max_abs_f1_gap,mean_abs_f1_gap,max_abs_pr_auc_gap,mean_abs_pr_auc_gap,max_abs_brier_score_gap,mean_abs_brier_score_gap,max_abs_ece_gap,mean_abs_ece_gap
logistic_regression,issuetype,6,0.1981102119460501,0.08744332796137995,0.3944374209860936,0.0977193422726773,0.6652452025586354,0.2631201958788166,0.4952380952380952,0.1379330910249222,0.34221888656415345,0.12012088119029773,0.1321143682807539,0.05526475830548142,0.05988638932464774,0.028667581712185752
logistic_regression,priority,5,0.16420929614873836,0.09867564804978088,0.3944374209860936,0.12806122185399477,0.6652452025586354,0.3313887442862134,0.4952380952380952,0.19787726421422377,0.11485620412193548,0.08491410132025527,0.1252329196036221,0.058143458169989004,0.0700156650006078,0.03379189511625881
logistic_regression,project_key,9,0.15727407407407407,0.07489349724171629,0.1544374209860936,0.06731728000387102,0.3925179298313627,0.20404337938334624,0.239918946301925,0.08153391272530364,0.18633496374077602,0.10728658114950276,0.1227034572975646,0.059575291477097676,0.1320403563103521,0.05806483761967293
random_forest,issuetype,6,0.1981102119460501,0.08744332796137995,0.14838709677419348,0.05813121245683913,0.16456677650707496,0.08464242119414533,0.1469573515378404,0.08334298198810963,0.3177099584224762,0.11790475151407853,0.10340106663518259,0.0369850035503074,0.044159649974241696,0.02730015031109038
random_forest,priority,5,0.16420929614873836,0.09867564804978088,0.5483870967741935,0.18928361960620027,0.2899786780383795,0.10991649492622887,0.3793584379358438,0.10965047384026802,0.18580149152711634,0.09125740854618744,0.0725827585534324,0.04417957272956952,0.12331294848012449,0.05739102041065858
random_forest,project_key,9,0.15727407407407407,0.07489349724171629,0.2756598240469208,0.11833082752870262,0.30093041287071143,0.1493694256755761,0.21155065297324716,0.13910481251749218,0.2252900069950286,0.1205602850284734,0.0611279452262036,0.03131596003184951,0.137413545859348,0.06644259440104198
