scenario,threshold,rows,positive_rate_true,positive_rate_predicted,precision,recall,f1,balanced_accuracy,pr_auc,brier_score,ece,roc_auc,delta_precision_vs_original,delta_recall_vs_original,delta_f1_vs_original,delta_balanced_accuracy_vs_original,delta_pr_auc_vs_original,delta_brier_score_vs_original,delta_ece_vs_original,delta_roc_auc_vs_original
prepared_original,0.25,1875,0.2501333333333333,0.41333333333333333,0.4180645161290323,0.6908315565031983,0.5209003215434084,0.6850317099727941,0.49433318860756376,0.16188872144046315,0.03792119786133892,0.7439446235597059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cleaned_rules,0.25,1875,0.2501333333333333,0.4090666666666667,0.4315514993481095,0.7057569296375267,0.5355987055016181,0.6978286781900294,0.47233692603576966,0.16301722284597617,0.04722452362543073,0.7489763638624596,0.013486983219077209,0.014925373134328401,0.01469838395820977,0.012796968217235305,-0.0219962625717941,0.001128501405513016,0.009303325764091812,0.005031740302753662
