metric,mean,std,min,max,range,coefficient_of_variation
precision,0.4190258716790515,0.008665474961524103,0.4076015727391874,0.43203230148048455,0.024430728741297147,0.02068004757510852
recall,0.690405117270789,0.017918343043817387,0.6631130063965884,0.7164179104477612,0.05330490405117272,0.02595337519317589
f1,0.5214788735596403,0.010722577693154985,0.5048701298701299,0.536741214057508,0.03187108418737805,0.020561864030966673
pr_auc,0.490974419533267,0.014743345955282726,0.4707461907173884,0.5257084808764318,0.05496229015904347,0.03002874563057304
brier_score,0.16161911302779608,0.002372169624430788,0.15700137259052066,0.1643136665720592,0.007312293981538542,0.014677531512147391
ece,0.041525765743850994,0.004701803622412066,0.036220645125132324,0.04891408640639278,0.012693441281260459,0.11322617507922282
roc_auc,0.7484104826406477,0.006847800879171016,0.7416911075591357,0.7596995210899374,0.018008413530801737,0.009149792844976778
