rows,positive_rate_true,positive_rate_predicted,tp,tn,fp,fn,precision,recall,f1,specificity,fpr,fnr,pr_auc,roc_auc,brier_score,ece,model,threshold,group_feature,group_value
84,0.39285714285714285,0.6190476190476191,30,29,22,3,0.5769230769230769,0.9090909090909091,0.7058823529411765,0.5686274509803921,0.43137254901960786,0.09090909090909091,0.7177893294570464,0.8366013071895424,0.16487379856870435,0.07661507058469003,logistic_regression,0.25,project_key,PLVS
92,0.21739130434782608,0.6521739130434783,15,27,45,5,0.25,0.75,0.375,0.375,0.625,0.25,0.25452445290347353,0.5534722222222223,0.18675472115572805,0.10849768809527982,logistic_regression,0.25,project_key,REFAPP
82,0.2682926829268293,0.6951219512195121,19,22,38,3,0.3333333333333333,0.8636363636363636,0.4810126582278481,0.36666666666666664,0.6333333333333333,0.13636363636363635,0.3620594893313984,0.6310606060606061,0.1962016183961455,0.07732761348087137,logistic_regression,0.25,project_key,REST
54,0.4074074074074074,0.9074074074074074,22,5,27,0,0.4489795918367347,1.0,0.6197183098591549,0.15625,0.84375,0.0,0.4300924706316031,0.5610795454545454,0.24811191677738179,0.15991144746991998,logistic_regression,0.25,project_key,SAL
25,0.48,1.0,12,0,13,0,0.48,1.0,0.6486486486486487,0.0,1.0,0.0,0.44837267142254356,0.42948717948717946,0.281561986488984,0.18569535402871057,logistic_regression,0.25,project_key,SCANNER
57,0.40350877192982454,0.8421052631578947,21,7,27,2,0.4375,0.9130434782608695,0.5915492957746479,0.20588235294117646,0.7941176470588235,0.08695652173913043,0.616954862723254,0.653452685421995,0.2415958443696211,0.2235522268639192,logistic_regression,0.25,project_key,SELENIUM
24,0.16666666666666666,0.625,2,7,13,2,0.13333333333333333,0.5,0.21052631578947367,0.35,0.65,0.5,0.170822192513369,0.41250000000000003,0.16834282650800095,0.13054745900280382,logistic_regression,0.25,project_key,SOY
25,0.08,0.0,0,23,0,2,0.0,0.0,0.0,1.0,0.0,1.0,0.29166666666666663,0.826086956521739,0.07381449030884209,0.0483596878554688,logistic_regression,0.25,project_key,SPEAKEASY
120,0.18333333333333332,0.20833333333333334,6,79,19,16,0.24,0.2727272727272727,0.2553191489361702,0.8061224489795918,0.19387755102040816,0.7272727272727273,0.25469211587505963,0.5570500927643784,0.1475019212010626,0.06669470940949968,logistic_regression,0.25,project_key,SPFE
455,0.23736263736263735,0.378021978021978,66,241,106,42,0.38372093023255816,0.6111111111111112,0.4714285714285714,0.6945244956772334,0.30547550432276654,0.3888888888888889,0.4385827676766011,0.699634432703597,0.16438845085253276,0.02076062356875094,logistic_regression,0.25,project_key,STRM
