scope,group_feature,group_value,metric,rows,mean,median,p75,p90
group,issuetype,Documentation,risk_time_proxy,31,0.32,0.0,1.0,1.0
group,issuetype,Documentation,risk_effort_proxy_raw,31,750.0000512141577,391.20063993055555,1045.9863584548611,1643.9831880324073
group,issuetype,Documentation,risk_scope_proxy_raw,31,0.0,0.0,0.0,0.0
group,issuetype,Epic,risk_time_proxy,49,0.6470588235294118,1.0,1.0,1.0
group,issuetype,Epic,risk_effort_proxy_raw,49,516.3389384807256,296.4060440046296,716.1807658912037,1344.1120277384257
group,issuetype,Epic,risk_scope_proxy_raw,49,0.0,0.0,0.0,0.0
group,issuetype,Improvement,risk_time_proxy,1761,0.35520770620108366,0.0,1.0,1.0
group,issuetype,Improvement,risk_effort_proxy_raw,1761,674.748636297302,301.9329209143519,824.4800089467592,1679.012459351852
group,issuetype,Improvement,risk_scope_proxy_raw,1761,0.0,0.0,0.0,0.0
group,issuetype,New Feature,risk_time_proxy,496,0.3674418604651163,0.0,1.0,1.0
group,issuetype,New Feature,risk_effort_proxy_raw,496,709.5516880941747,319.9696238541667,820.8681338165509,1838.3259331307868
group,issuetype,New Feature,risk_scope_proxy_raw,496,0.0,0.0,0.0,0.0
group,issuetype,Story,risk_time_proxy,501,0.3370288248337029,0.0,1.0,1.0
group,issuetype,Story,risk_effort_proxy_raw,501,477.9108674367007,182.89655659722223,651.0,1329.7450533217593
group,issuetype,Story,risk_scope_proxy_raw,501,0.0,0.0,0.0,0.0
group,issuetype,Sub-task,risk_time_proxy,840,0.07816377171215881,0.0,0.0,0.0
group,issuetype,Sub-task,risk_effort_proxy_raw,840,215.40439850936946,28.552492806712962,170.70031263888887,437.7097905208335
group,issuetype,Sub-task,risk_scope_proxy_raw,840,0.0,0.0,0.0,0.0
group,issuetype,Support Request,risk_time_proxy,25,0.14285714285714285,0.0,0.0,1.0
group,issuetype,Support Request,risk_effort_proxy_raw,25,3831.5536029638893,785.3993135069444,2534.425810798611,7814.616207798619
group,issuetype,Support Request,risk_scope_proxy_raw,25,0.0,0.0,0.0,0.0
group,issuetype,Task,risk_time_proxy,1672,0.19488188976377951,0.0,0.0,1.0
group,issuetype,Task,risk_effort_proxy_raw,1672,403.43850850449394,177.70789750578706,435.1766432667824,1022.3976523750001
group,issuetype,Task,risk_scope_proxy_raw,1672,0.0,0.0,0.0,0.0
group,priority,Blocker,risk_time_proxy,353,0.09302325581395349,0.0,0.0,0.0
group,priority,Blocker,risk_effort_proxy_raw,353,1380.8252403266315,331.0303890046296,827.029528900463,2204.4951704351884
group,priority,Blocker,risk_scope_proxy_raw,353,0.0,0.0,0.0,0.0
group,priority,Critical,risk_time_proxy,798,0.15151515151515152,0.0,0.0,1.0
group,priority,Critical,risk_effort_proxy_raw,798,1956.5957876057182,365.93645663773145,831.0770933449074,1994.5934883541722
group,priority,Critical,risk_scope_proxy_raw,798,0.0,0.0,0.0,0.0
group,priority,Major,risk_time_proxy,7180,0.23733804475853945,0.0,0.0,1.0
group,priority,Major,risk_effort_proxy_raw,7180,743.2706379756381,220.69955077546297,618.573833816551,1484.3498315509262
group,priority,Major,risk_scope_proxy_raw,7180,0.0,0.0,0.0,0.0
group,priority,Minor,risk_time_proxy,1466,0.40093603744149764,0.0,1.0,1.0
group,priority,Minor,risk_effort_proxy_raw,1466,814.7951038510085,349.5151822974537,964.7406782783565,1742.1905938541668
group,priority,Minor,risk_scope_proxy_raw,1466,0.0,0.0,0.0,0.0
group,priority,Trivial,risk_time_proxy,202,0.35751295336787564,0.0,1.0,1.0
group,priority,Trivial,risk_effort_proxy_raw,202,507.68136609701594,231.3567227372685,534.7159641145834,1338.6138822604166
group,priority,Trivial,risk_scope_proxy_raw,202,0.0,0.0,0.0,0.0
group,status,Closed,risk_time_proxy,8527,0.2541656888054447,0.0,1.0,1.0
group,status,Closed,risk_effort_proxy_raw,8527,875.5206679525046,244.94381157407406,695.5489859722222,1587.1034569328704
group,status,Closed,risk_scope_proxy_raw,8527,0.0,0.0,0.0,0.0
group,status,Done,risk_time_proxy,115,0.06140350877192982,0.0,0.0,0.0
group,status,Done,risk_effort_proxy_raw,115,393.29651506562,269.1921327777778,467.95753886574073,815.6993781458333
group,status,Done,risk_scope_proxy_raw,115,0.0,0.0,0.0,0.0
group,status,In Progress,risk_time_proxy,27,0.4,0.0,1.0,1.0
group,status,In Progress,risk_effort_proxy_raw,27,556.0230305954218,136.0,401.60851828703704,905.6000000000009
group,status,In Progress,risk_scope_proxy_raw,27,0.0,0.0,0.0,0.0
group,status,Long Term Backlog,risk_time_proxy,44,0.0,0.0,0.0,0.0
group,status,Long Term Backlog,risk_effort_proxy_raw,44,1118.641995112058,333.5,756.0,1952.7
group,status,Long Term Backlog,risk_scope_proxy_raw,44,0.0,0.0,0.0,0.0
group,status,Needs Triage,risk_time_proxy,72,,,,
group,status,Needs Triage,risk_effort_proxy_raw,72,375.4583333333333,221.0,475.75,882.3999999999997
group,status,Needs Triage,risk_scope_proxy_raw,72,0.0,0.0,0.0,0.0
group,status,New,risk_time_proxy,164,,,,
group,status,New,risk_effort_proxy_raw,164,970.9756097560976,324.5,657.25,1731.1000000000045
group,status,New,risk_scope_proxy_raw,164,0.0,0.0,0.0,0.0
group,status,Not Being Considered,risk_time_proxy,190,,,,
group,status,Not Being Considered,risk_effort_proxy_raw,190,691.3157894736842,407.5,776.75,1292.3999999999999
group,status,Not Being Considered,risk_scope_proxy_raw,190,0.0,0.0,0.0,0.0
