seed,threshold,rows,positive_rate_true,positive_rate_predicted,precision,recall,f1,pr_auc,brier_score,ece,roc_auc
42,0.25,1875,0.2501333333333333,0.41333333333333333,0.4180645161290323,0.6908315565031983,0.5209003215434084,0.49433318860756376,0.16188872144046315,0.03792119786133892,0.7439446235597059
43,0.25,1875,0.2501333333333333,0.39626666666666666,0.43203230148048455,0.6844349680170576,0.5297029702970297,0.5257084808764318,0.15700137259052066,0.036720253466358745,0.7596995210899374
44,0.25,1875,0.2501333333333333,0.4106666666666667,0.4090909090909091,0.6716417910447762,0.5084745762711864,0.48392018435706163,0.1634396444420184,0.04173184571833281,0.7416911075591357
45,0.25,1875,0.2501333333333333,0.42293333333333333,0.4110970996216898,0.6950959488272921,0.5166402535657686,0.49531121340157125,0.1612848510900382,0.04219903352856107,0.7469609380449915
46,0.25,1875,0.2501333333333333,0.41813333333333336,0.41836734693877553,0.6993603411513859,0.5235434956105347,0.4707461907173884,0.1643136665720592,0.048665818101262144,0.7428982399524428
47,0.25,1875,0.2501333333333333,0.41173333333333334,0.42875647668393785,0.7057569296375267,0.5334407735697019,0.4947351560725618,0.1594947491424237,0.04891408640639278,0.7570661223449912
48,0.25,1875,0.2501333333333333,0.4176,0.42911877394636017,0.7164179104477612,0.536741214057508,0.49079329677960515,0.159525046737276,0.036220645125132324,0.7574968077717489
49,0.25,1875,0.2501333333333333,0.4069333333333333,0.4076015727391874,0.6631130063965884,0.5048701298701299,0.47626501217859446,0.16426591464212006,0.04222319791068376,0.7448257088869815
50,0.25,1875,0.2501333333333333,0.4208,0.4207858048162231,0.7078891257995735,0.5278219395866455,0.49229713372516726,0.16173153083307806,0.03677222833347352,0.7446232564064459
51,0.25,1875,0.2501333333333333,0.4032,0.41534391534391535,0.6695095948827292,0.5126530612244898,0.48563433861672406,0.16324563278796353,0.04388935098697388,0.7448985007900955
